time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966413,507361,1612625,-38.5625,213,10,1,1980-01-06T03:26:53,1633358654.226305,2021-10-04T17:44:14
315966419,443331,1618549,-38.75,9,10,1,1980-01-06T03:26:59,1633358661.166781,2021-10-04T17:44:21
315966426,453128,1625573,-39.0,71,10,1,1980-01-06T03:27:06,1633358667.525821,2021-10-04T17:44:27
315966433,453127,1632639,-39.25,133,10,1,1980-01-06T03:27:13,1633358673.885776,2021-10-04T17:44:33
315966440,513233,1639596,-39.4375,195,10,1,1980-01-06T03:27:20,1633358680.7976198,2021-10-04T17:44:40
315966446,513062,1645633,-39.625,247,10,1,1980-01-06T03:27:26,1633358687.217692,2021-10-04T17:44:47
315966453,534308,1652640,-39.875,53,10,1,1980-01-06T03:27:33,1633358694.137068,2021-10-04T17:44:54
315966460,555697,1659674,-40.0625,111,10,1,1980-01-06T03:27:40,1633358700.475793,2021-10-04T17:45:00
315966467,582960,1666703,-40.3125,173,10,1,1980-01-06T03:27:47,1633358709.6073558,2021-10-04T17:45:09
315966473,692965,1672800,-41.75,225,10,1,1980-01-06T03:27:53,1633358715.9666839,2021-10-04T17:45:15
315966481,762976,1680866,-42.1875,41,10,1,1980-01-06T03:28:01,1633358722.8858728,2021-10-04T17:45:22
315966487,775821,1686953,-42.5,93,10,1,1980-01-06T03:28:07,1633358729.245777,2021-10-04T17:45:29
315966494,873295,1693976,-42.8125,155,10,1,1980-01-06T03:28:14,1633358736.145941,2021-10-04T17:45:36
315966501,53386,1699975,-42.9375,207,10,1,1980-01-06T03:28:21,1633358742.5059838,2021-10-04T17:45:42
315966508,134379,1707133,-42.9375,13,10,1,1980-01-06T03:28:28,1633358749.4059489,2021-10-04T17:45:49
315966515,213692,1714150,-43.0,75,10,1,1980-01-06T03:28:35,1633358755.746592,2021-10-04T17:45:55
315966522,234264,1721160,-42.9375,133,10,1,1980-01-06T03:28:42,1633358762.696208,2021-10-04T17:46:02
315966528,316196,1727346,-43.0625,189,10,1,1980-01-06T03:28:48,1633358769.0262449,2021-10-04T17:46:09
315966535,356149,1734275,-43.0,247,10,1,1980-01-06T03:28:55,1633358777.825485,2021-10-04T17:46:17
315966543,476126,1742477,-43.4375,63,10,1,1980-01-06T03:29:03,1633358784.214972,2021-10-04T17:46:24
315966551,486216,1750422,-43.9375,131,10,1,1980-01-06T03:29:11,1633358791.1264448,2021-10-04T17:46:31
315966557,573387,1756495,-44.0,183,10,1,1980-01-06T03:29:17,1633358797.474356,2021-10-04T17:46:37
315966563,573406,1762525,-44.1875,239,10,1,1980-01-06T03:29:23,1633358806.614784,2021-10-04T17:46:46
315966571,613433,1770613,-44.3125,51,10,1,1980-01-06T03:29:31,1633358812.9939039,2021-10-04T17:46:52
315966578,623640,1777623,-44.25,113,10,1,1980-01-06T03:29:38,1633358819.902984,2021-10-04T17:46:59
315966584,623395,1783548,-44.1875,165,10,1,1980-01-06T03:29:44,1633358826.2427928,2021-10-04T17:47:06
315966591,676128,1790606,-44.0,227,10,1,1980-01-06T03:29:51,1633358833.203001,2021-10-04T17:47:13
315966598,693387,1797645,-43.6875,33,10,1,1980-01-06T03:29:58,1633358839.5516438,2021-10-04T17:47:19
315966605,764527,1804746,-43.6875,91,10,1,1980-01-06T03:30:05,1633358846.471585,2021-10-04T17:47:26
315966611,773714,1810714,-43.625,143,10,1,1980-01-06T03:30:11,1633358852.811069,2021-10-04T17:47:32
315966617,873499,1816865,-43.5,199,10,1,1980-01-06T03:30:17,1633358859.7110078,2021-10-04T17:47:39
315966624,923503,1823852,-43.4375,1,10,1,1980-01-06T03:30:24,1633358866.110256,2021-10-04T17:47:46
315966631,925840,1830846,-43.5,63,10,1,1980-01-06T03:30:31,1633358873.099869,2021-10-04T17:47:53
315966637,943516,1836865,-43.5625,115,10,1,1980-01-06T03:30:37,1633358878.8596048,2021-10-04T17:47:58
315966645,933394,1844854,-43.5,187,10,1,1980-01-06T03:30:45,1633358885.851353,2021-10-04T17:48:05
315966651,936136,1850868,-43.4375,239,10,1,1980-01-06T03:30:51,1633358892.169009,2021-10-04T17:48:12
315966659,53576,1857975,-43.5,45,10,1,1980-01-06T03:30:59,1633358899.1385438,2021-10-04T17:48:19
315966665,56726,1863986,-43.5625,97,10,1,1980-01-06T03:31:05,1633358905.527997,2021-10-04T17:48:25
315966674,154267,1873077,-43.9375,175,10,1,1980-01-06T03:31:14,1633358915.287765,2021-10-04T17:48:35
315966680,143500,1879078,-43.875,227,10,1,1980-01-06T03:31:20,1633358921.5973809,2021-10-04T17:48:41
315966687,156434,1886086,-43.8125,33,10,1,1980-01-06T03:31:27,1633358928.607192,2021-10-04T17:48:48
