time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966987,632000,2185679,2185679,2185679,55443,9,-11,0,0,0,189,11,0,1980-01-06T03:36:27,1633359227.5956159,2021-10-04T17:53:47
315967000,860000,2198895,2198895,2198895,55781,9,-11,0,0,0,15,11,0,1980-01-06T03:36:40,1633359240.8455598,2021-10-04T17:54:00
315967015,107000,2213127,2213127,2213127,56133,9,-11,0,0,0,111,11,0,1980-01-06T03:36:55,1633359254.095008,2021-10-04T17:54:14
315967028,554000,2226560,2226560,2226560,56477,9,-11,0,0,0,199,11,0,1980-01-06T03:37:08,1633359270.274176,2021-10-04T17:54:30
315967041,776000,2239769,2239769,2239769,56815,9,-11,0,0,0,25,11,0,1980-01-06T03:37:21,1633359283.55346,2021-10-04T17:54:43
315967056,19000,2253998,2253998,2253998,57172,9,-11,0,0,0,126,11,0,1980-01-06T03:37:36,1633359296.853209,2021-10-04T17:54:56
315967069,241000,2267207,2267207,2267207,57505,9,-11,0,0,0,203,11,0,1980-01-06T03:37:49,1633359309.473237,2021-10-04T17:55:09
315967082,450000,2280404,2280404,2280404,57844,9,-11,0,0,0,30,11,0,1980-01-06T03:38:02,1633359322.712296,2021-10-04T17:55:22
315967096,687000,2294626,2294626,2294626,58208,9,-11,0,0,0,138,11,0,1980-01-06T03:38:16,1633359336.051888,2021-10-04T17:55:36
315967109,904000,2307830,2307830,2307830,58546,9,-11,0,0,0,220,11,0,1980-01-06T03:38:29,1633359349.291913,2021-10-04T17:55:49
315967124,146000,2322058,2322058,2322058,58898,9,-11,0,0,0,60,11,0,1980-01-06T03:38:44,1633359364.781949,2021-10-04T17:56:04
315967137,368000,2335267,2335267,2335267,59236,9,-11,0,0,0,142,11,0,1980-01-06T03:38:57,1633359377.990841,2021-10-04T17:56:17
315967150,579000,2348466,2348466,2348466,59574,9,-11,0,0,0,224,11,0,1980-01-06T03:39:10,1633359391.290524,2021-10-04T17:56:31
315967164,817000,2362688,2362688,2362688,59939,9,-11,0,0,0,77,11,0,1980-01-06T03:39:24,1633359404.520344,2021-10-04T17:56:44
315967178,257000,2376116,2376116,2376116,60280,9,-11,0,0,0,162,11,0,1980-01-06T03:39:38,1633359417.8102238,2021-10-04T17:56:57
315967192,137000,2389981,2389981,2389981,60634,9,-11,0,0,0,4,11,0,1980-01-06T03:39:52,1633359431.13986,2021-10-04T17:57:11
315967204,995000,2402829,2402829,2402829,60949,9,-11,0,0,0,63,11,0,1980-01-06T03:40:04,1633359444.4995,2021-10-04T17:57:24
315967219,262000,2417085,2417085,2417085,61302,9,-11,0,0,0,160,11,0,1980-01-06T03:40:19,1633359459.9495158,2021-10-04T17:57:39
315967233,117000,2430926,2430926,2430926,61656,9,-11,0,0,0,2,11,0,1980-01-06T03:40:33,1633359473.3293529,2021-10-04T17:57:53
315967246,160000,2443956,2443956,2443956,61988,9,-11,0,0,0,78,11,0,1980-01-06T03:40:46,1633359486.628473,2021-10-04T17:58:06
315967259,373000,2457156,2457156,2457156,62326,9,-11,0,0,0,160,11,0,1980-01-06T03:40:59,1633359499.857837,2021-10-04T17:58:19
315967273,9000,2470778,2470778,2470778,62674,9,-11,0,0,0,252,11,0,1980-01-06T03:41:13,1633359512.5492768,2021-10-04T17:58:32
315967286,492000,2484248,2484248,2484248,63012,9,-11,0,0,0,78,11,0,1980-01-06T03:41:26,1633359525.788141,2021-10-04T17:58:45
315967300,927000,2498668,2498668,2498668,63380,9,-11,0,0,0,190,11,0,1980-01-06T03:41:40,1633359539.617596,2021-10-04T17:58:59
315967313,125000,2510855,2510855,2510855,63681,9,-11,0,0,0,235,11,0,1980-01-06T03:41:53,1633359555.14732,2021-10-04T17:59:15
315967327,323000,2525039,2525039,2525039,64045,9,-11,0,0,0,87,11,0,1980-01-06T03:42:07,1633359568.516569,2021-10-04T17:59:28
315967340,950000,2538652,2538652,2538652,64391,9,-11,0,0,0,177,11,0,1980-01-06T03:42:20,1633359581.7765288,2021-10-04T17:59:41
315967354,148000,2551837,2551837,2551837,64719,9,-11,0,0,0,249,11,0,1980-01-06T03:42:34,1633359594.446204,2021-10-04T17:59:54
315967368,333000,2566008,2566008,2566008,65083,9,-11,0,0,0,101,11,0,1980-01-06T03:42:48,1633359607.746224,2021-10-04T18:00:07
315967381,513000,2579175,2579175,2579175,65421,9,-11,0,0,0,183,11,0,1980-01-06T03:43:01,1633359620.9554849,2021-10-04T18:00:20
315967394,704000,2592353,2592353,2592353,65760,9,-11,0,0,0,10,11,0,1980-01-06T03:43:14,1633359634.814997,2021-10-04T18:00:34
315967408,114000,2605750,2605750,2605750,66097,9,-11,0,0,0,91,11,0,1980-01-06T03:43:28,1633359650.305884,2021-10-04T18:00:50
315967421,753000,2619376,2619376,2619376,66446,9,-11,0,0,0,184,11,0,1980-01-06T03:43:41,1633359662.915621,2021-10-04T18:01:02
315967435,962000,2633569,2633569,2633569,66806,9,-11,0,0,0,32,11,0,1980-01-06T03:43:55,1633359676.1543279,2021-10-04T18:01:16
315967449,369000,2646964,2646964,2646964,67139,9,-11,0,0,0,109,11,0,1980-01-06T03:44:09,1633359689.4442809,2021-10-04T18:01:29
315967463,185000,2660765,2660765,2660765,67489,9,-11,0,0,0,203,11,0,1980-01-06T03:44:23,1633359702.7358,2021-10-04T18:01:42
315967476,469000,2674037,2674037,2674037,67826,9,-11,0,0,0,28,11,0,1980-01-06T03:44:36,1633359716.5434558,2021-10-04T18:01:56
315967489,628000,2687183,2687183,2687183,68164,9,-11,0,0,0,110,11,0,1980-01-06T03:44:49,1633359729.803741,2021-10-04T18:02:09
315967503,818000,2701359,2701359,2701359,68529,9,-11,0,0,0,219,11,0,1980-01-06T03:45:03,1633359742.433045,2021-10-04T18:02:22
315967517,3000,2714530,2714530,2714530,68860,9,-11,0,0,0,38,11,0,1980-01-06T03:45:17,1633359757.9537609,2021-10-04T18:02:37
315967531,451000,2728964,2728964,2728964,69222,9,-11,0,0,0,144,11,0,1980-01-06T03:45:31,1633359771.312516,2021-10-04T18:02:51
315967543,631000,2741132,2741132,2741132,69534,9,-11,0,0,0,200,11,0,1980-01-06T03:45:43,1633359784.582449,2021-10-04T18:03:04
315967556,775000,2754264,2754264,2754264,69872,9,-11,0,0,0,26,11,0,1980-01-06T03:45:56,1633359797.862329,2021-10-04T18:03:17
315967571,859000,2769333,2769333,2769333,70251,9,-11,0,0,0,149,11,0,1980-01-06T03:46:11,1633359811.1021118,2021-10-04T18:03:31
315967585,276000,2782736,2782736,2782736,70589,9,-11,0,0,0,231,11,0,1980-01-06T03:46:25,1633359824.391661,2021-10-04T18:03:44
