time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357412,224553,820,-53,12,-54,2021-10-04T17:23:32,1633357412.227521,2021-10-04T17:23:32
1633357412,814810,821,-60,13,-60,2021-10-04T17:23:32,1633357412.818372,2021-10-04T17:23:32
1633357413,414591,822,-54,11,-56,2021-10-04T17:23:33,1633357413.418823,2021-10-04T17:23:33
1633357414,24923,823,-51,12,-52,2021-10-04T17:23:34,1633357414.028464,2021-10-04T17:23:34
1633357414,644564,824,-52,12,-52,2021-10-04T17:23:34,1633357414.647958,2021-10-04T17:23:34
1633357417,334878,825,-52,12,-53,2021-10-04T17:23:37,1633357417.337385,2021-10-04T17:23:37
1633357417,924633,826,-51,12,-52,2021-10-04T17:23:37,1633357417.927737,2021-10-04T17:23:37
1633357418,514761,827,-52,12,-53,2021-10-04T17:23:38,1633357418.517921,2021-10-04T17:23:38
1633357419,134751,828,-54,11,-54,2021-10-04T17:23:39,1633357419.137861,2021-10-04T17:23:39
1633357419,724329,829,-57,13,-57,2021-10-04T17:23:39,1633357419.728034,2021-10-04T17:23:39
1633357420,304601,830,-57,14,-57,2021-10-04T17:23:40,1633357420.307678,2021-10-04T17:23:40
1633357420,894554,831,-53,12,-54,2021-10-04T17:23:40,1633357421.005114,2021-10-04T17:23:41
1633357423,544644,832,-57,12,-58,2021-10-04T17:23:43,1633357423.54784,2021-10-04T17:23:43
1633357424,164679,833,-55,12,-56,2021-10-04T17:23:44,1633357424.168699,2021-10-04T17:23:44
1633357424,744659,834,-50,12,-51,2021-10-04T17:23:44,1633357424.747709,2021-10-04T17:23:44
1633357425,324738,835,-52,13,-53,2021-10-04T17:23:45,1633357425.327119,2021-10-04T17:23:45
1633357425,904654,836,-54,12,-54,2021-10-04T17:23:45,1633357425.908138,2021-10-04T17:23:45
1633357426,504639,837,-52,12,-53,2021-10-04T17:23:46,1633357426.510976,2021-10-04T17:23:46
1633357427,84641,838,-52,12,-53,2021-10-04T17:23:47,1633357427.090846,2021-10-04T17:23:47
1633357429,724686,839,-53,13,-53,2021-10-04T17:23:49,1633357429.728514,2021-10-04T17:23:49
1633357430,304619,840,-51,12,-51,2021-10-04T17:23:50,1633357430.307651,2021-10-04T17:23:50
1633357430,894408,841,-51,12,-51,2021-10-04T17:23:50,1633357430.897969,2021-10-04T17:23:50
1633357431,474420,842,-51,13,-52,2021-10-04T17:23:51,1633357431.478534,2021-10-04T17:23:51
1633357432,84441,843,-52,13,-53,2021-10-04T17:23:52,1633357432.088241,2021-10-04T17:23:52
1633357432,664431,844,-55,12,-56,2021-10-04T17:23:52,1633357432.668751,2021-10-04T17:23:52
1633357433,244471,845,-55,12,-56,2021-10-04T17:23:53,1633357433.247832,2021-10-04T17:23:53
1633357436,494551,846,-53,12,-54,2021-10-04T17:23:56,1633357436.497967,2021-10-04T17:23:56
1633357437,94571,847,-52,12,-52,2021-10-04T17:23:57,1633357437.097767,2021-10-04T17:23:57
1633357437,684884,848,-52,12,-53,2021-10-04T17:23:57,1633357437.688738,2021-10-04T17:23:57
1633357438,274787,849,-57,13,-57,2021-10-04T17:23:58,1633357438.277928,2021-10-04T17:23:58
1633357438,864738,850,-55,12,-55,2021-10-04T17:23:58,1633357438.867742,2021-10-04T17:23:58
1633357439,455977,851,-51,13,-52,2021-10-04T17:23:59,1633357439.459436,2021-10-04T17:23:59
1633357442,154993,852,-52,13,-52,2021-10-04T17:24:02,1633357442.157787,2021-10-04T17:24:02
1633357442,734982,853,-52,12,-52,2021-10-04T17:24:02,1633357442.738461,2021-10-04T17:24:02
1633357443,325097,854,-51,12,-52,2021-10-04T17:24:03,1633357443.328666,2021-10-04T17:24:03
1633357443,924746,855,-51,12,-52,2021-10-04T17:24:03,1633357443.928271,2021-10-04T17:24:03
1633357444,504697,856,-52,12,-53,2021-10-04T17:24:04,1633357444.507494,2021-10-04T17:24:04
1633357445,94917,857,-52,12,-53,2021-10-04T17:24:05,1633357445.098041,2021-10-04T17:24:05
1633357445,674886,858,-52,14,-53,2021-10-04T17:24:05,1633357445.677608,2021-10-04T17:24:05
1633357448,354444,859,-52,11,-53,2021-10-04T17:24:08,1633357448.3578,2021-10-04T17:24:08
1633357448,954484,860,-51,12,-51,2021-10-04T17:24:08,1633357448.957516,2021-10-04T17:24:08
1633357449,534501,861,-51,13,-52,2021-10-04T17:24:09,1633357449.540606,2021-10-04T17:24:09
1633357450,114454,862,-51,12,-52,2021-10-04T17:24:10,1633357450.120966,2021-10-04T17:24:10
1633357450,714452,863,-51,12,-52,2021-10-04T17:24:10,1633357450.717336,2021-10-04T17:24:10
1633357451,324495,864,-51,12,-51,2021-10-04T17:24:11,1633357451.328077,2021-10-04T17:24:11
1633357451,924479,865,-51,13,-52,2021-10-04T17:24:11,1633357451.927627,2021-10-04T17:24:11
1633357454,554699,866,-50,12,-51,2021-10-04T17:24:14,1633357454.55781,2021-10-04T17:24:14
1633357455,145754,867,-51,14,-51,2021-10-04T17:24:15,1633357455.150832,2021-10-04T17:24:15
1633357455,734994,868,-54,13,-54,2021-10-04T17:24:15,1633357455.738497,2021-10-04T17:24:15
1633357456,334764,869,-54,11,-55,2021-10-04T17:24:16,1633357456.338032,2021-10-04T17:24:16
1633357456,934543,870,-50,13,-51,2021-10-04T17:24:16,1633357456.937494,2021-10-04T17:24:16
1633357457,534948,871,-52,13,-53,2021-10-04T17:24:17,1633357457.538043,2021-10-04T17:24:17
1633357458,114806,872,-52,12,-53,2021-10-04T17:24:18,1633357458.118261,2021-10-04T17:24:18
1633357461,364940,873,-50,13,-50,2021-10-04T17:24:21,1633357461.369081,2021-10-04T17:24:21
1633357461,944861,874,-50,13,-51,2021-10-04T17:24:21,1633357461.949119,2021-10-04T17:24:21
1633357462,534725,875,-50,14,-50,2021-10-04T17:24:22,1633357462.539103,2021-10-04T17:24:22
1633357463,115189,876,-50,13,-51,2021-10-04T17:24:23,1633357463.11835,2021-10-04T17:24:23
1633357463,714716,877,-51,12,-53,2021-10-04T17:24:23,1633357463.717473,2021-10-04T17:24:23
1633357464,314751,878,-52,12,-53,2021-10-04T17:24:24,1633357464.317817,2021-10-04T17:24:24
1633357466,965131,879,-50,12,-51,2021-10-04T17:24:26,1633357466.968561,2021-10-04T17:24:26
1633357467,545021,880,-49,12,-50,2021-10-04T17:24:27,1633357467.548707,2021-10-04T17:24:27
1633357468,124835,881,-51,12,-52,2021-10-04T17:24:28,1633357468.127861,2021-10-04T17:24:28
1633357468,744718,882,-54,12,-55,2021-10-04T17:24:28,1633357468.748301,2021-10-04T17:24:28
1633357469,324567,883,-56,11,-57,2021-10-04T17:24:29,1633357469.328309,2021-10-04T17:24:29
1633357469,924788,884,-55,12,-56,2021-10-04T17:24:29,1633357469.927743,2021-10-04T17:24:29
1633357470,504757,885,-55,12,-56,2021-10-04T17:24:30,1633357470.507466,2021-10-04T17:24:30
1633357473,775472,886,-52,12,-53,2021-10-04T17:24:33,1633357473.781692,2021-10-04T17:24:33
1633357474,374784,887,-53,12,-54,2021-10-04T17:24:34,1633357474.381138,2021-10-04T17:24:34
1633357474,984807,888,-52,13,-52,2021-10-04T17:24:34,1633357474.991569,2021-10-04T17:24:34
1633357475,564825,889,-50,11,-51,2021-10-04T17:24:35,1633357475.568411,2021-10-04T17:24:35
1633357476,156531,890,-50,12,-51,2021-10-04T17:24:36,1633357476.160805,2021-10-04T17:24:36
1633357476,745160,891,-50,13,-51,2021-10-04T17:24:36,1633357476.74808,2021-10-04T17:24:36
1633357479,994867,892,-55,13,-55,2021-10-04T17:24:39,1633357479.997672,2021-10-04T17:24:39
1633357480,584630,893,-52,12,-53,2021-10-04T17:24:40,1633357480.588167,2021-10-04T17:24:40
1633357481,174612,894,-50,12,-51,2021-10-04T17:24:41,1633357481.178157,2021-10-04T17:24:41
1633357481,774826,895,-54,13,-55,2021-10-04T17:24:41,1633357481.778163,2021-10-04T17:24:41
1633357482,384840,896,-53,12,-54,2021-10-04T17:24:42,1633357482.38768,2021-10-04T17:24:42
1633357482,974881,897,-51,12,-52,2021-10-04T17:24:42,1633357482.97807,2021-10-04T17:24:42
1633357485,655026,898,-51,12,-52,2021-10-04T17:24:45,1633357485.661319,2021-10-04T17:24:45
1633357486,234877,899,-52,12,-53,2021-10-04T17:24:46,1633357486.239017,2021-10-04T17:24:46
1633357486,854820,900,-51,12,-52,2021-10-04T17:24:46,1633357486.858283,2021-10-04T17:24:46
1633357487,434839,901,-54,12,-54,2021-10-04T17:24:47,1633357487.439215,2021-10-04T17:24:47
1633357488,14633,902,-54,13,-54,2021-10-04T17:24:48,1633357488.018992,2021-10-04T17:24:48
1633357488,624622,903,-51,12,-51,2021-10-04T17:24:48,1633357488.62806,2021-10-04T17:24:48
1633357489,214796,904,-55,12,-56,2021-10-04T17:24:49,1633357489.218888,2021-10-04T17:24:49
1633357492,454656,905,-52,12,-52,2021-10-04T17:24:52,1633357492.45876,2021-10-04T17:24:52
1633357493,45157,906,-52,12,-53,2021-10-04T17:24:53,1633357493.048171,2021-10-04T17:24:53
1633357493,634685,907,-51,12,-51,2021-10-04T17:24:53,1633357493.638448,2021-10-04T17:24:53
1633357494,214653,908,-53,12,-54,2021-10-04T17:24:54,1633357494.219099,2021-10-04T17:24:54
