time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357413,414255,True,822,417,-54,11,-56,2021-10-04T17:23:33,1633357413.416256,2021-10-04T17:23:33
1633357414,24595,True,823,418,-51,12,-52,2021-10-04T17:23:34,1633357414.026546,2021-10-04T17:23:34
1633357414,644239,True,824,419,-52,12,-52,2021-10-04T17:23:34,1633357414.64607,2021-10-04T17:23:34
1633357417,334414,True,825,420,-52,12,-53,2021-10-04T17:23:37,1633357417.336019,2021-10-04T17:23:37
1633357417,924359,True,826,421,-51,12,-52,2021-10-04T17:23:37,1633357417.926429,2021-10-04T17:23:37
1633357418,514448,True,827,422,-52,12,-53,2021-10-04T17:23:38,1633357418.516427,2021-10-04T17:23:38
1633357419,134437,True,828,423,-54,11,-54,2021-10-04T17:23:39,1633357419.136065,2021-10-04T17:23:39
1633357419,724248,True,829,424,-57,13,-57,2021-10-04T17:23:39,1633357419.726279,2021-10-04T17:23:39
1633357420,304283,True,830,425,-57,14,-57,2021-10-04T17:23:40,1633357420.305922,2021-10-04T17:23:40
1633357420,894229,True,831,426,-53,12,-54,2021-10-04T17:23:40,1633357421.003403,2021-10-04T17:23:41
1633357423,544355,True,832,427,-57,12,-58,2021-10-04T17:23:43,1633357423.546415,2021-10-04T17:23:43
1633357424,164331,True,833,428,-55,12,-56,2021-10-04T17:23:44,1633357424.166691,2021-10-04T17:23:44
1633357424,744327,True,834,429,-50,12,-51,2021-10-04T17:23:44,1633357424.746279,2021-10-04T17:23:44
1633357425,324269,True,835,430,-52,13,-53,2021-10-04T17:23:45,1633357425.32592,2021-10-04T17:23:45
1633357425,904312,True,836,431,-54,12,-54,2021-10-04T17:23:45,1633357425.90698,2021-10-04T17:23:45
1633357426,504322,True,837,432,-52,12,-53,2021-10-04T17:23:46,1633357426.508044,2021-10-04T17:23:46
1633357427,84304,True,838,433,-52,12,-53,2021-10-04T17:23:47,1633357427.087996,2021-10-04T17:23:47
1633357429,724359,True,839,434,-53,13,-53,2021-10-04T17:23:49,1633357429.726725,2021-10-04T17:23:49
1633357430,304280,True,840,435,-51,12,-51,2021-10-04T17:23:50,1633357430.306272,2021-10-04T17:23:50
1633357430,894318,True,841,436,-51,12,-51,2021-10-04T17:23:50,1633357430.896481,2021-10-04T17:23:50
1633357431,474338,True,842,437,-51,13,-52,2021-10-04T17:23:51,1633357431.476567,2021-10-04T17:23:51
1633357432,84366,True,843,438,-52,13,-53,2021-10-04T17:23:52,1633357432.086632,2021-10-04T17:23:52
1633357432,664350,True,844,439,-55,12,-56,2021-10-04T17:23:52,1633357432.666771,2021-10-04T17:23:52
1633357433,244390,True,845,440,-55,12,-56,2021-10-04T17:23:53,1633357433.246248,2021-10-04T17:23:53
1633357436,494478,True,846,442,-53,12,-54,2021-10-04T17:23:56,1633357436.496516,2021-10-04T17:23:56
1633357437,94489,True,847,443,-52,12,-52,2021-10-04T17:23:57,1633357437.096213,2021-10-04T17:23:57
1633357437,684584,True,848,444,-52,12,-53,2021-10-04T17:23:57,1633357437.686515,2021-10-04T17:23:57
1633357438,274487,True,849,445,-57,13,-57,2021-10-04T17:23:58,1633357438.276541,2021-10-04T17:23:58
1633357438,864663,True,850,446,-55,12,-55,2021-10-04T17:23:58,1633357438.866364,2021-10-04T17:23:58
1633357439,455896,True,851,447,-51,13,-52,2021-10-04T17:23:59,1633357439.457726,2021-10-04T17:23:59
1633357442,154515,True,852,448,-52,13,-52,2021-10-04T17:24:02,1633357442.156163,2021-10-04T17:24:02
1633357442,734903,True,853,449,-52,12,-52,2021-10-04T17:24:02,1633357442.736534,2021-10-04T17:24:02
