time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966084,816800,1284577,1,26,1242151,139,1165751,8,1231351,14,1241551,130,13,0,1980-01-06T03:21:24,1633358325.9978719,2021-10-04T17:38:45
315966098,816900,1298577,1,26,1242151,139,1165751,8,1231351,14,1241551,40,13,0,1980-01-06T03:21:38,1633358339.776525,2021-10-04T17:38:59
315966112,816800,1312577,0,26,1242151,140,1301751,8,1231351,15,1301751,205,13,0,1980-01-06T03:21:52,1633358352.976125,2021-10-04T17:39:12
315966125,816900,1325577,0,26,1242151,140,1301751,8,1231351,15,1301751,104,13,0,1980-01-06T03:22:05,1633358368.808161,2021-10-04T17:39:28
315966139,816800,1339577,0,26,1242151,140,1301751,8,1231351,15,1301751,14,13,0,1980-01-06T03:22:19,1633358382.5761878,2021-10-04T17:39:42
315966154,816800,1354577,0,26,1242151,140,1301751,8,1231351,15,1301751,192,13,0,1980-01-06T03:22:34,1633358395.7161279,2021-10-04T17:39:55
315966167,816900,1367577,3,27,1360351,140,1301751,9,1360351,15,1301751,90,13,0,1980-01-06T03:22:47,1633358409.4767969,2021-10-04T17:40:09
315966182,816900,1382577,1,88,1382551,140,1301751,9,1360351,16,1370551,12,13,0,1980-01-06T03:23:02,1633358424.786676,2021-10-04T17:40:24
315966195,816800,1395577,1,153,1395551,140,1301751,9,1360351,16,1370551,167,13,0,1980-01-06T03:23:15,1633358437.9665399,2021-10-04T17:40:37
315966210,67000,1409577,1,223,1409551,140,1301751,9,1360351,16,1370551,77,13,0,1980-01-06T03:23:30,1633358451.825837,2021-10-04T17:40:51
315966225,67000,1424577,1,42,1424551,140,1301751,9,1360351,16,1370551,255,13,0,1980-01-06T03:23:45,1633358465.578193,2021-10-04T17:41:05
315966238,66900,1437577,0,72,1430551,141,1430751,9,1360351,17,1430751,153,13,0,1980-01-06T03:23:58,1633358478.8357918,2021-10-04T17:41:18
315966252,67000,1451577,0,72,1430551,141,1430751,9,1360351,17,1430751,63,13,0,1980-01-06T03:24:12,1633358494.266309,2021-10-04T17:41:34
