time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968180,360100,3377989,-16.09665298461914,3.311000108718872,3.2750184535980225,34,13,0,1980-01-06T03:56:20
315968181,360100,3378989,-16.09665298461914,3.311000108718872,3.2814650535583496,45,13,0,1980-01-06T03:56:21
315968182,360100,3379989,-16.39405059814453,3.311000108718872,3.2895236015319824,55,13,0,1980-01-06T03:56:22
315968183,360100,3380989,-16.09665298461914,3.311000108718872,3.2814650535583496,67,13,0,1980-01-06T03:56:23
315968184,360100,3381989,-16.09665298461914,3.311000108718872,3.2814650535583496,77,13,0,1980-01-06T03:56:24
315968185,360100,3382989,-16.39405059814453,3.311000108718872,3.2895236015319824,87,13,0,1980-01-06T03:56:25
315968186,360100,3383989,-16.39405059814453,3.311000108718872,3.2895236015319824,100,13,0,1980-01-06T03:56:26
315968187,360100,3384989,-16.09665298461914,3.311000108718872,3.287912130355835,110,13,0,1980-01-06T03:56:27
315968188,360100,3385989,-16.39405059814453,3.311000108718872,3.2895236015319824,120,13,0,1980-01-06T03:56:28
315968189,360100,3386989,-16.09665298461914,3.311000108718872,3.287912130355835,132,13,0,1980-01-06T03:56:29
315968190,360100,3387989,-16.09665298461914,3.311000108718872,3.2814650535583496,142,13,0,1980-01-06T03:56:30
315968191,360100,3388989,-16.09665298461914,3.311000108718872,3.2814650535583496,153,13,0,1980-01-06T03:56:31
315968192,360100,3389989,-16.09665298461914,3.311000108718872,3.2895236015319824,165,13,0,1980-01-06T03:56:32
315968193,360100,3390989,-16.09665298461914,3.311000108718872,3.2895236015319824,175,13,0,1980-01-06T03:56:33
315968194,360100,3391989,-16.09665298461914,3.311000108718872,3.287912130355835,185,13,0,1980-01-06T03:56:34
315968195,360100,3392989,-16.09665298461914,3.311000108718872,3.287912130355835,197,13,0,1980-01-06T03:56:35
315968196,360100,3393989,-16.09665298461914,3.311000108718872,3.2669596672058105,208,13,0,1980-01-06T03:56:36
315968197,360100,3394989,-16.09665298461914,3.311000108718872,3.2669596672058105,218,13,0,1980-01-06T03:56:37
315968198,360100,3395989,-16.09665298461914,3.311000108718872,3.2750184535980225,230,13,0,1980-01-06T03:56:38
315968199,360100,3396989,-16.09665298461914,3.311000108718872,3.2750184535980225,240,13,0,1980-01-06T03:56:39
315968200,360100,3397989,-16.09665298461914,3.311000108718872,3.2701830863952637,250,13,0,1980-01-06T03:56:40
315968201,360100,3398989,-16.09665298461914,3.311000108718872,3.27662992477417,7,13,0,1980-01-06T03:56:41
315968202,360100,3399989,-16.09665298461914,3.311000108718872,3.2669596672058105,17,13,0,1980-01-06T03:56:42
315968203,360100,3400989,-16.09665298461914,3.311000108718872,3.2669596672058105,27,13,0,1980-01-06T03:56:43
315968204,360100,3401989,-16.09665298461914,3.311000108718872,3.2895236015319824,39,13,0,1980-01-06T03:56:44
315968205,360100,3402989,-16.09665298461914,3.311000108718872,3.284688711166382,49,13,0,1980-01-06T03:56:45
315968206,360100,3403989,-16.09665298461914,3.311000108718872,3.2895236015319824,60,13,0,1980-01-06T03:56:46
315968207,360100,3404989,-16.09665298461914,3.311000108718872,3.2895236015319824,72,13,0,1980-01-06T03:56:47
315968208,360100,3405989,-16.09665298461914,3.311000108718872,3.2814650535583496,82,13,0,1980-01-06T03:56:48
